comment,equipId,countAt,reset,grouping,shipNames,classNames,shipTypes,subEquipIds,subEquipCategories,subEquipIds2,subEquipCategories2,firepower,bombing,torpedo,antiair,ASW,evasion,LoS,armor,accuracy,range,lastModified,subEquipLevel,subEquipLevel2
艦偵共通,54|151|273,1,,1,,改伊勢型,軽空母|正規空母|装甲空母,,,,,0|0|0|0|1|1|1|1|1|1|2,,0,0,0,0,0|0|1|1|1|1|2|2|2|2|3,0,0,0,2021/08/05
零式艦戦62型(爆戦):60/零戦62型(爆戦/岩井隊):154/零式艦戦63型(爆戦):219/零式艦戦62型改(夜間爆戦):557/零式艦戦62型改(熟練/夜間爆戦):558,60|154|219|557|558,*,,1,飛鷹|飛鷹改|隼鷹|隼鷹改|隼鷹改二|千歳|千歳改|千歳甲|千歳航|千歳航改|千歳航改二|千代田|千代田改|千代田甲|千代田航|千代田航改|千代田航改二|瑞鳳|瑞鳳改|瑞鳳改二|瑞鳳改二乙,,,,,,,1,,,1,,1,,,,,2026/07/20
,60|154|219|557|558,*,,1,龍鳳|祥鳳改|龍鳳改,,,,,,,1,,,1,,1,,,,,2026/07/20
,60|154|219|557|558,*,,1,龍鳳改二戊|龍鳳改二,,,,,,,2,,,1,,2,,,,,2026/07/20
12.7cm連装砲B型改二,63,*,,,,綾波型|暁型|初春型,,,,,,,,,1,,,,,,,2026/07/20
,63,*,,,夕立|夕立改|夕立改二,,,,,,,1,,,1,,2,,,,,2026/07/20
,63,*,,,夕立改二,,,,,,,,,1,,,,,,,,2026/07/20
,63,*,,,時雨改二|敷波改二|時雨改三,,,,,,,1,,,,,,,,,,2026/07/20
,63,*,,,白露改|村雨改|白露改二|村雨改二|春雨改二,,,,,,,,,,,,1,,,,,2026/07/20
,63,*,,,江風改二,,,,,,,,,,,,2,,,,,2026/07/20
,63,*,,,天霧改二|天霧改二丁,,,,,,,2,,,,,,,,,,2026/07/20
8cm高角砲:66/8cm高角砲改+増設機銃:220,66|220,*,,1,能代改二|矢矧改二|矢矧改二乙,,,,,,,,,,2,,1,,,,,2026/07/20
,66|220,*,,1,最上改二|三隈改二|最上改二特|三隈改二特,,,,,,,1,,,2,,2,,,,,2026/07/20
,66|220,1,,1,最上改二|三隈改二|最上改二特|三隈改二特|能代改二|矢矧改二|矢矧改二乙,,,,対空電探,,,,,,1,,2,,,,,2026/07/20
8cm高角砲改+増設機銃,220,*,,,最上改二|三隈改二|最上改二特|三隈改二特|能代改二|矢矧改二|矢矧改二乙,,,,,,,1,,,3,,2,,,,,2026/07/20
,220,1,,,最上改二|三隈改二|最上改二特|三隈改二特|能代改二|矢矧改二|矢矧改二乙|鳳翔改二|鳳翔改二戦,,,,対空電探,,,,,,3,,3,,,,,2026/07/20
,220,*,,,鳳翔改二|鳳翔改二戦,,,,,,,0|0|0|0|0|0|0|0|0|0|1,,,2|2|2|2|2|2|2|2|2|2|3,,2|2|2|2|2|2|2|2|2|2|3,,,,,2026/07/20
53cm艦首(酸素)魚雷,67,*,,,*,,,,,,,,,-5,,,,,,,,2026/07/20
,67,*,,,,,潜水艦|潜水空母,,,,,,,5,,,,,,,,2026/07/20
カ号観測機,69,*,,,日向改二|加賀改二護,,,,,,,1,,,,2,,,,,,2026/07/20
,69,*,,,伊勢改二,,,,,,,1,,,,1,,,,,,2026/07/20
12.7cm単装砲,78,*,,,,Z1型,,,,,,1|1|1|1|1|1|1|2|2|2|2,,,,,1,,0|0|0|0|0|0|0|0|0|0|1,,,2026/07/20
,78,1,,,,Z1型,,,水上電探,,,2,,2,,,2,,,,,2026/07/20
瑞雲(六三四空):79/瑞雲12型(六三四空):81,79|81,*,,1,伊勢改二|日向改二,,,,,,,3,,,,,,,,,,2026/07/20
,79|81,*,,1,伊勢改|日向改|扶桑改二|山城改二,,,,,,,2,,,,,,,,,,2026/07/20
九七式艦攻(九三一空),82,*,,,,大鷹型,,,,,,,,,,1,1,,,,,2026/07/20
新型高温高圧缶,87,1,,,金剛改二丙|比叡改二丙|榛名改二乙|霧島改二丙|榛名改二丙,,,,,,,0|0|0|0|0|0|0|0|0|0|1,,1|1|1|1|1|1|1|1|2|2|2,,,2|2|2|2|2|2|3|3|3|3|3,,,,,2026/07/20
,87,*,,,天津風改二,,,,,,,1|1|1|1|1|1|1|1|1|2|2,,1|1|1|1|1|1|1|1|2|2|2,0|0|0|0|0|0|1|1|1|1|1,,1|1|1|1|1|1|1|2|2|2|2,,,1|1|1|1|1|1|1|1|1|1|2,,2026/07/20
,87,*,,,島風|天津風|島風改|天津風改|時雨改三,,,,,,,0|0|0|0|0|0|0|0|1|1|1,,0|0|0|0|0|0|0|1|1|1|1,,,0|0|0|0|0|0|1|1|1|1|2,,,0|0|0|0|0|0|0|0|0|1|1,,2026/07/20
,87,*,,,,夕雲型|改夕雲型|秋月型|松型,,,,,,,,0|0|0|0|0|0|0|0|1|1|1,,,0|0|0|0|0|0|0|1|1|1|1,,,0|0|0|0|0|0|0|0|0|0|1,,2026/07/20
20.3cm(2号)連装砲,90,*,,,衣笠改二,,,,,,,2,,,,,1,,,,,2026/07/20
,90,*,,,衣笠改|古鷹改二|加古改二,,,,,,,1,,,,,,,,,,2026/07/20
,90,*,,,青葉改,,,,,,,1,,,1,,,,,,,2026/07/20
,90,*,,,,古鷹型|高雄型|最上型|青葉型|妙高型|利根型,,,,,,1,,,,,,,,,,2026/07/20
,90,1,,,青葉|青葉改,,,,対空電探,,,,,,5,,2,,,,,2026/07/20
,90,1,,,,古鷹型|青葉型,,,水上電探,,,3,,2,,,2,,,,,2026/07/20
,90,*,,,最上改二|三隈改二|最上改二特|三隈改二特,,,,,,,1,,,,,,,,,,2026/07/20
,90,*,,,Thonburi|Thonburi改,,,,,,,0|0|0|0|0|0|0|0|0|0|1,,,,,,,,0|0|0|0|0|0|0|0|0|1|1,,2026/07/20
九七式艦攻(友永隊),93,1,,,蒼龍|蒼龍改|蒼龍改二,,,,,,,1,,,,,,,,,,2026/07/20
,93,1,,,飛龍|飛龍改|飛龍改二|飛龍改三,,,,,,,3,,,,,,,,,,2026/07/20
天山一二型(友永隊),94,1,,,蒼龍改二,,,,,,,3,,,,,,,,,,2026/07/20
,94,1,,,飛龍改二|飛龍改三,,,,,,,7,,,,,,,,,,2026/07/20
九九式艦爆(江草隊),99,1,,,蒼龍|蒼龍改|蒼龍改二,,,,,,,4,,,,,,,,,,2026/07/20
,99,1,,,飛龍|飛龍改|飛龍改二|飛龍改三,,,,,,,1,,,,,,,,,,2026/07/20
彗星(江草隊),100,1,,,蒼龍改二,,,,,,,6,,,,,,,,,,2026/07/20
,100,1,,,飛龍改二|飛龍改三,,,,,,,3,,,,,,,,,,2026/07/20
,100,*,,,伊勢改二|日向改二,,,,,,,4,,,,,,,,,,2026/07/20
35.6cm連装砲(ダズル迷彩),104,*,,,金剛改二|金剛改二丙,,,,,,,2,,,,,,,,,,2026/07/20
,104,*,,,比叡改二|霧島改二|比叡改二丙|霧島改二丙,,,,,,,1,,,,,,,,,,2026/07/20
,104,*,,,榛名改二|榛名改二乙|榛名改二丙,,,,,,,2,,,1,,2,,,,,2026/07/20
Ar196改,115,*,,,,Bismarck級|Admiral Hipper級,,,,,,2|2|2|2|2|2|2|2|2|2|3,,,,,1|1|1|1|1|1|1|1|1|1|2,2,,,,2026/07/20
14cm連装砲,119,*,,,,夕張型|香取型,,,,,,1,,,,,,,,,,2026/07/20
,119,*,,,,日進型,,,,,,2,,1,,,,,,,,2026/07/20
10cm高角砲+高射装置,122,*,,,,秋月型,,,,,,0|0|0|0|0|0|0|0|0|0|1,,,0|0|0|0|0|0|0|1|1|1|1,,0|0|0|0|0|0|1|1|1|2|2,,,0|0|0|0|0|0|0|0|1|1|1,,2026/07/20
,122,*,,,吹雪改二|涼波改二補|藤波改二|早波改二|浜波改二|白雪改二|初雪改二|玉波改二|涼波改二|吹雪改三|吹雪改三護(六式),,,,,,,0|0|0|0|0|0|0|0|0|0|1,,,0|0|0|0|0|0|0|1|1|1|1,,0|0|0|0|0|0|0|0|1|1|1,,,0|0|0|0|0|0|0|0|0|1|1,,2026/07/20
熟練見張員,129,*,,,,綾波型|暁型|初春型|吹雪型|朝潮型|島風型|白露型|改白露型|改装白露型|睦月型|陽炎型|改装陽炎型|改陽炎型|夕雲型|改夕雲型|秋月型|神風型|松型,,,,,,1,,2,,2,2,1,,,,2026/07/20
,129,*,,,,球磨型|改装球磨型|川内型|長良型|天龍型|夕張型|阿賀野型|改阿賀野型|大淀型|香取型,,,,,,1,,2,,,2,3,,,,2026/07/20
,129,*,,,,古鷹型|高雄型|最上型|青葉型|妙高型|利根型,,,,,,1,,,,,2,3,,,,2026/07/20
,129,1,,,,綾波型|暁型|初春型|吹雪型|朝潮型|島風型|白露型|改白露型|改装白露型|睦月型|陽炎型|改装陽炎型|改陽炎型|夕雲型|改夕雲型|秋月型|神風型|松型|球磨型|改装球磨型|川内型|長良型|天龍型|夕張型|阿賀野型|改阿賀野型|大淀型|香取型|古鷹型|高雄型|最上型|青葉型|妙高型|利根型,,,,,,,,,,,,,,0|0|0|0|0|0|0|0|0|0|1,,2026/07/20
15.2cm連装砲改,139,*,,,能代改二|矢矧改二|矢矧改二乙,,,,,,,2,,,1,,,,,,,2026/07/20
九七式艦攻(村田隊),143,1,,,赤城|赤城改|赤城改二|赤城改二戊,,,,,,,3,,,,,,,,,,2026/07/20
,143,1,,,加賀|加賀改|加賀改二|加賀改二戊|加賀改二護|翔鶴|翔鶴改|翔鶴改二|翔鶴改二甲,,,,,,,2,,,,,,,,,,2026/07/20
,143,1,,,龍驤|龍驤改|龍驤改二|瑞鶴|瑞鶴改|瑞鶴改二|瑞鶴改二甲,,,,,,,1,,,,,,,,,,2026/07/20
天山(村田隊),144,1,,,赤城|赤城改|赤城改二|赤城改二戊,,,,,,,3,,,,,,,,,,2026/07/20
,144,1,,,加賀|加賀改|加賀改二|加賀改二戊|加賀改二護|翔鶴|翔鶴改|翔鶴改二|翔鶴改二甲,,,,,,,2,,,,,,,,,,2026/07/20
,144,1,,,翔鶴改二|翔鶴改二甲,,,,,,,2,,,,,,,,,,2026/07/20
,144,1,,,龍驤|龍驤改|龍驤改二|瑞鶴|瑞鶴改|瑞鶴改二|瑞鶴改二甲,,,,,,,1,,,,,,,,,,2026/07/20
,144,1,,,瑞鶴改二|瑞鶴改二甲|飛龍改三,,,,,,,1,,,,,,,,,,2026/07/20
120mm/50 連装砲,147,*,,,,Maestrale級,,,,,,1,,,,,1,,,,,2026/07/20
四式水中聴音機,149,1,,,五十鈴改二|那珂改二|由良改二|夕張改二|夕張改二特|雪風改二|時雨改三,,,,,,,,,,,1,3,,,,,2026/07/20
,149,1,,,夕張改二丁,,,,,,,,,,,3,5,,,,,2026/07/20
,149,1,,,能代改二,,,,,,,,,,,2,4,,,,,2026/07/20
,149,1,,,,秋月型,,,,,,,,,,1,2,,,,,2026/07/20
二式水戦改:165/二式水戦改(熟練):216,165|216,1,,1,最上改二|三隈改二|最上改二特|三隈改二特,,,,,,,,,,2,,2,,,,,2026/07/20
OS2U,171,1,,,,Iowa級|Lexington級|Casablanca級|Essex級|John C.Butler級|Fletcher級|Colorado級|Northampton級|Atlanta級|South Dakota級|Yorktown級|St. Louis級|North Carolina級|Brooklyn級|Gato級|Independence級|Ranger級|New Orleans級|Salmon級|Nevada級,,,,,,0|0|0|0|0|0|0|0|0|0|1,,,,,0|0|0|0|0|1|1|1|1|1|1,,,,,2026/07/20
,171,1,,,,Iowa級|Colorado級|South Dakota級|North Carolina級|Nevada級,,,,,,1,,,,,,1|1|1|2|2|2|2|2|3|3|3,,,,2026/07/20
53cm連装魚雷,174,*,,,,神風型,,,,,,,,1,,,2,,,,,2026/07/20
,174,*,,,金剛改二丙|比叡改二丙|霧島改二丙|榛名改二丙,,,,,,,,,6,,,3,,,,,2026/07/20
,174,*,,,榛名改二乙,,,,,,,,,5,,,2,,,,,2026/07/20
,174,*,,,由良改二|夕張改二|夕張改二特|夕張改二丁,,,,,,,2,,4,,,4,,,,,2026/07/20
試製61cm六連装(酸素)魚雷,179,*,,,,秋月型,,,,,,,,1,,,,,,,,2026/07/20
Re.2001 OR改,184,*,,,,Aquila級,,,,,,1,,,2,,3,,,,,2026/07/20
Re.2001 G改,188,*,,,,Aquila級,,,,,,3,,,1,,1,,,,,2026/07/20
Re.2005 改,189,*,,,,Graf Zeppelin級|Aquila級,,,,,,,,,1,,2,,,,,2026/07/20
Lat&amp;eacute; 298B,194,*,,,,C.Teste級,,,,,,3,,,,,2,2,,,,2026/07/20
,194,*,,,,瑞穂型|神威型,,,,,,,,,,,1,2,,,,2026/07/20
,194,*,,,Richelieu改|Richelieud Deux,,,,,,,1,,,,,2,2,,,,2026/07/20
艦本新設計 増設バルジ(大型艦),204,1,,,金剛改二丙|比叡改二丙|榛名改二乙|霧島改二丙|榛名改二丙,,,,,,,,,1|1|1|1|1|1|1|1|1|1|2,,,,,1|1|1|1|1|1|1|2|2|2|2,,,2026/07/20
,204,1,,,霧島改二丙,,,,,,,,,0|0|0|0|0|0|0|0|0|0|1,,,,,0|0|0|0|0|0|0|1|1|1|1,,,2026/07/20
強風改,217,*,,,最上改二|最上改二特,,,,,,,1,,,5,,3,,,,,2026/07/20
,217,*,,,三隈改二|三隈改二特,,,,,,,1,,,4,,2,,,,,2026/07/20
九六式艦戦改,228,*,,,鳳翔|鳳翔改|鳳翔改二|鳳翔改二戦,,,,,,,3,,,3,4,4,,,,,2026/07/20
,228,*,,,鳳翔改二|鳳翔改二戦,,,,,,,1,,,1,2,2,,,,,2026/07/20
,228,*,,,,春日丸級|特設航空母艦|大鷹型,,,,,,2,,,1,5,1,,,,,2026/07/20
,228,*,,,,,軽空母,,,,,,,,1,2,1,,,,,2026/07/20
15.5cm三連装砲改,235,*,,,,最上型|大淀型,,,,,,2,,,1,,,,,,,2026/07/20
,235,*,,,大淀改,,,,,,,1,,,,,1,,,,,2026/07/20
,235,1,,,大淀改,,,,水上電探,,,3,,,,,2,,,,,2026/07/20
,235,1,,,大淀改,,,,対空電探,,,,,,3,,3,,,,,2026/07/20
瑞雲(六三四空/熟練),237,*,,,伊勢改二|日向改二,,,,,,,4,,,,,2,,,,,2026/07/20
,237,*,,,伊勢改|日向改,,,,,,,3,,,,,1,,,,,2026/07/20
,237,*,,,扶桑改二|山城改二,,,,,,,2,,,,,,,,,,2026/07/20
Swordfish,242,*,,,,Ark Royal級,,,,,,2,,,,,1,,,,,2026/07/20
,242,*,,,鳳翔|鳳翔改|鳳翔改二|鳳翔改二戦,,,,,,,1,,,,,,,,,,2026/07/20
Swordfish Mk.II(熟練),243,*,,,,Ark Royal級,,,,,,3,,,,,1,,,,,2026/07/20
,243,*,,,鳳翔|鳳翔改|鳳翔改二|鳳翔改二戦,,,,,,,2,,,,,,,,,,2026/07/20
Swordfish Mk.III(熟練),244,*,,,,Ark Royal級,,,,,,4|4|4|5|5|5|5|6|6|6|7,,,,,2|2|2|2|2|2|2|2|3|3|3,,,0|0|0|0|0|1|1|1|1|2|2,,2026/07/20
,244,*,,,鳳翔|鳳翔改|鳳翔改二|鳳翔改二戦,,,,,,,3|3|3|3|3|3|3|4|4|4|5,,,,,0|0|0|1|1|1|1|1|1|1|1,,,0|0|0|0|0|0|0|0|0|1|1,,2026/07/20
12.7cm連装砲C型改二,266,1,,,陽炎改二|不知火改二|黒潮改二|雪風改二|親潮改二|早潮改二|天津風改二,,,,,,,1,,,,,,,,,,2026/07/20
,266,2,,,陽炎改二|不知火改二|黒潮改二|雪風改二|親潮改二|早潮改二|天津風改二,,,,,,,2,,,,,,,,,,2026/07/20
,266,*,,,,朝潮型|白露型|改白露型|改装白露型,,,,,,1,,,,,,,,,,2026/07/20
,266,1,,,,朝潮型|白露型|改白露型|改装白露型,,,水上電探,,,1,,3,,,1,,,,,2026/07/20
,266,*,,,,陽炎型|改装陽炎型|改陽炎型,,,,,,1,,,,,,,,,,2026/07/20
,266,1,,,,陽炎型|改装陽炎型|改陽炎型,,,水上電探,,,2,,3,,,1,,,,,2026/07/20
,266,*,,,雪風|雪風改|丹陽|雪風改二|時雨|時雨改|時雨改二|時雨改三|磯風|磯風改|磯風乙改,,,,,,,,,,,,1,,,,,2026/07/20
,266,*,,,時雨改三,,,,,,,1,,,,,1,,,1,,2026/07/20
12.7cm連装砲D型改二,267,*,,,,島風型|夕雲型|改夕雲型,,,,,,2,,,,,1,,,,,2026/07/20
,267,*,,,,陽炎型|改装陽炎型|改陽炎型,,,,,,1,,,,,1,,,,,2026/07/20
,267,1,,,陽炎改二|不知火改二|黒潮改二|雪風改二|親潮改二|早潮改二|天津風改二,,,,,,,1,,,,,,,,,,2026/07/20
,267,*,,,夕雲改二|長波改二|巻雲改二|風雲改二|沖波改二|朝霜改二|長波改二補|朝霜改二補|涼波改二補|藤波改二|早波改二|浜波改二|玉波改二|涼波改二,,,,,,,1,,,,,,,,,,2026/07/20
,267,1,,,島風改|夕雲改二|長波改二|巻雲改二|風雲改二|沖波改二|朝霜改二|秋雲改二|高波改二|長波改二補|朝霜改二補|涼波改二補|清霜改二|早霜改二|清霜改二丁|藤波改二|早波改二|浜波改二|玉波改二|涼波改二,,,,水上電探,,,1,,3,,,2,,,,,2026/07/20
,267,1,,,,夕雲型|改夕雲型,,,水上電探,,,2,,3,,,1,,,,,2026/07/20
,267,1,,,清霜改二|早霜改二,,,,水上電探,,,,,-1,,,,,,,,2026/07/20
,267,1,,,清霜改二丁,,,,水上電探,,,,,-2,,,,,,,,2026/07/20
,267,*,,,秋雲改二|高波改二|清霜改二|早霜改二|清霜改二丁|時雨改三,,,,,,,2,,,,,,,,,,2026/07/20
,267,1,,,秋雲改二,,,,水上電探,,,2,,3,,,1,,,,,2026/07/20
北方迷彩(+北方装備),268,1,,,多摩|多摩改|多摩改二|木曾|木曾改|木曾改二|Гангут|Октябрьская революция|Гангут два,,,,,,,,,,,,7,,2,,,2026/07/20
,268,1,,,阿武隈改二|阿武隈改,,,,,,,,,,,,7,,2,,,2026/07/20
,268,*,,,*,,,,,,,0|0|0|0|0|0|0|0|0|1|1,,,,,0|0|0|0|0|0|0|1|1|1|2,,,0|0|0|0|0|0|0|0|1|1|1,,2026/07/20
,268,*,,,響|響改|Верный|那智|那智改|那智改二|足柄|足柄改|足柄改二|多摩|多摩改|多摩改二|木曾|木曾改|木曾改二|阿武隈|阿武隈改|阿武隈改二|Гангут|Октябрьская революция|Гангут два|Ташкент|Ташкент改|Gotland|Gotland改|Gotland andra|Киров|Киров改,,,,,,,,,,,0|0|0|0|0|0|0|1|1|1|1,0|0|0|0|0|0|0|2|2|2|2,,,0|0|0|0|0|0|0|1|1|1|1,,2026/07/20
,268,*,,,*,,,402,,,,,,,,0|0|0|0|0|0|0|2|2|2|2,0|0|0|0|0|0|0|4|4|4|4,,,0|0|0|0|0|0|0|1|1|1|1,,2026/07/20
